author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,district,street,house_number,underground,residential_complex
ID 21997999,realtor,https://www.cian.ru/sale/flat/300779197/,Москва,sale,flat,11,12,2,38.4,-1,0,13700000,Кузьминки,Окская ,18К1,Кузьминки,
Century 21 Premium Property,real_estate_agent,https://www.cian.ru/sale/flat/301272869/,Москва,sale,flat,7,16,2,39.9,-1,0,20000000,Даниловский, Архитектора Щусева,4к1,ЗИЛ,ЗИЛАРТ
Бест офис на Таганской,real_estate_agent,https://www.cian.ru/sale/flat/301859215/,Москва,sale,flat,1,9,2,44.6,-1,0,9990000,Люблино,проспект 40 лет Октября,4к1,Люблино,
SPENСER ESTATE,real_estate_agent,https://www.cian.ru/sale/flat/301635513/,Москва,sale,flat,6,10,2,54.2,-1,0,30000000,Дорогомилово,Кутузовский проспект,4/2,Киевская,
ID 11333635,unknown,https://www.cian.ru/sale/flat/298726692/,Москва,sale,flat,5,9,2,43.0,-1,0,15990000,Хорошево-Мневники, Генерала Глаголева,25К1,Народное Ополчение,
BRIGHT ESTATE - городская недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/299942097/,Москва,sale,flat,2,17,2,60.1,-1,0,27800000,Хорошево-Мневники,проспект Маршала Жукова,37К2,Народное Ополчение,Wellton park
Авеню-Мск,real_estate_agent,https://www.cian.ru/sale/flat/300929697/,Москва,sale,flat,4,14,2,44.7,-1,0,12950000,Свиблово,Уржумская ,3К3,Свиблово,
Apple Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/298908021/,Москва,sale,flat,4,5,2,105.3,-1,0,51000000,Замоскворечье, Большая Ордынка,17С1,Третьяковская,
CENTURY 21 Перспектива,real_estate_agent,https://www.cian.ru/sale/flat/299726522/,Москва,sale,flat,16,17,2,51.0,-1,0,11800000,Некрасовка, Ухтомского Ополчения,2,Некрасовка,Некрасовка-Парк
Московский Квартал,real_estate_agent,https://www.cian.ru/sale/flat/300866936/,Москва,sale,flat,6,9,2,40.1,-1,0,25500000,Пресненский,Пресненский переулок,2,Краснопресненская,
ЛюксДом,real_estate_agent,https://www.cian.ru/sale/flat/300299599/,Москва,sale,flat,4,5,2,64.1,-1,0,64000000,Замоскворечье,Озерковская набережная,6,Новокузнецкая,Bogenhouse
Alliance Agency Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/285542196/,Москва,sale,flat,6,26,2,66.4,-1,0,22900000,Западное Дегунино,Дмитровское шоссе,73Б,Верхние Лихоборы,Тринити
SKYEST,real_estate_agent,https://www.cian.ru/sale/flat/297805133/,Москва,sale,flat,7,18,2,78.0,-1,0,104900000,Хамовники, Ефремова,10с1к4/2,Фрунзенская,Садовые кварталы
Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/301168869/,Москва,sale,flat,2,7,2,56.0,-1,0,24990000,Таганский, Александра Солженицына,24,Марксистская,
Космополис,real_estate_agent,https://www.cian.ru/sale/flat/301758231/,Москва,sale,flat,10,19,2,66.2,-1,0,16500000,Очаково-Матвеевское,Большая Очаковская ,12к7,Очаково,
Алла Шмелева,realtor,https://www.cian.ru/sale/flat/300979509/,Москва,sale,flat,9,9,2,44.0,-1,0,16950000,Щукино,Авиационная ,68,Щукинская,
SKYEST,real_estate_agent,https://www.cian.ru/sale/flat/301719368/,Москва,sale,flat,3,14,2,65.0,-1,0,90000000,Хамовники, Усачева,15,Спортивная,Садовые кварталы
FALCON GROUP,real_estate_agent,https://www.cian.ru/sale/flat/299111468/,Москва,sale,flat,7,7,2,54.0,-1,0,16800000,Бутырский, Добролюбова,9/11,Бутырская,
Apple Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/298373287/,Москва,sale,flat,18,42,2,94.0,-1,0,34000000,Хорошевский,Хорошевское шоссе,12к1,Беговая,Дом на Беговой
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/299856718/,Москва,sale,flat,7,17,2,52.0,-1,0,14825000,Солнцево,Солнцевский проспект,14,Солнцево,
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/300705208/,Москва,sale,flat,3,7,2,56.2,-1,0,36500000,Пресненский,Большой Тишинский переулок,38,Улица 1905 года,Sinatra
MadeState,real_estate_agent,https://www.cian.ru/sale/flat/298660598/,Москва,sale,flat,18,24,2,53.0,-1,0,21000000,Лефортово, 2-я Синичкина,5,Сортировочная,
ОГРК,real_estate_agent,https://www.cian.ru/sale/flat/300501831/,Москва,sale,flat,22,25,2,60.2,-1,0,18500000,Войковский,Нарвская ,1Ак4,Водный стадион,Головино
Century 21 Premium Property,real_estate_agent,https://www.cian.ru/sale/flat/274588193/,Москва,sale,flat,9,37,2,56.4,-1,0,29000000,Раменки, Лобачевского,124к2,Аминьевская,Огни
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/300661833/,Москва,sale,flat,6,8,2,57.0,-1,0,34500000,Можайский, Гришина,16,Рабочий посёлок,Level Кутузовский
СЕДЬМОЕ НЕБО,real_estate_agent,https://www.cian.ru/sale/flat/301250185/,Москва,sale,flat,12,12,2,48.0,-1,0,16400000,Алексеевский, Павла Корчагина,11,ВДНХ,
Славянка - офис Северо-Запад,real_estate_agent,https://www.cian.ru/sale/flat/299967437/,Москва,sale,flat,10,11,2,68.0,-1,0,40600000,Басманный, Казакова,7,Курская,KAZAKOV Grand Loft
Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/296661121/,Москва,sale,flat,26,26,2,43.1,-1,0,13340000,Нижегородский,Газгольдерная ,8Б,Нижегородская,Profit
Apple Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/296403571/,Москва,sale,flat,4,8,2,65.0,-1,0,45900000,Тверской,Благовещенский переулок,5,Маяковская,
EstateLiga,real_estate_agent,https://www.cian.ru/sale/flat/300194456/,Москва,sale,flat,9,11,2,83.0,-1,0,37000000,Беговой,Ленинградский проспект,35С2,Динамо,Квартал апартаментов Искра-Парк
ФСК Агент,real_estate_agent,https://www.cian.ru/sale/flat/301856501/,Москва,sale,flat,5,22,2,50.0,-1,0,20500000,Зюзино,Балаклавский проспект,16,Чертановская,Горизонт (Балаклавка)
Chase R.E.S.,real_estate_agent,https://www.cian.ru/sale/flat/301349025/,Москва,sale,flat,3,14,2,71.4,-1,0,38300000,Даниловский,проспект Лихачева,14,Технопарк,Nagatino i-Land
PANDA ESTATE,real_estate_agent,https://www.cian.ru/sale/flat/299250573/,Москва,sale,flat,4,22,2,55.0,-1,0,41500000,Якиманка,Мытная ,40к1,Октябрьская,Sky House
ОГРК,real_estate_agent,https://www.cian.ru/sale/flat/296778360/,Москва,sale,flat,10,12,2,52.0,-1,0,17900000,Мещанский,Средняя Переяславская ,2,Рижская,
Славянка - офис Северо-Запад,real_estate_agent,https://www.cian.ru/sale/flat/300423966/,Москва,sale,flat,6,12,2,51.3,-1,0,34500000,Аэропорт,Ленинградский проспект,36с36,Петровский Парк,ВТБ Арена парк
Chase R.E.S.,real_estate_agent,https://www.cian.ru/sale/flat/300869943/,Москва,sale,flat,11,13,2,82.9,-1,0,41700000,Раменки,Винницкая ,8к4,Раменки,Настоящее
OPN PARTNER,real_estate_agent,https://www.cian.ru/sale/flat/300142526/,Москва,sale,flat,16,24,2,72.0,-1,0,17390000,Бирюлево Восточное,6-я Радиальная ,7/1к2,Царицыно,Царицыно-2
BRIGHT ESTATE - городская недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/299460217/,Москва,sale,flat,12,14,2,49.2,-1,0,32900000,Раменки,проспект Генерала Дорохова,39к1,Минская,Собрание клубных домов West Garden
Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/298844641/,Москва,sale,flat,19,22,2,59.0,-1,0,18990000,Обручевский, Обручева,28К8,Калужская,
ID 19500220,unknown,https://www.cian.ru/sale/flat/299849082/,Москва,sale,flat,12,18,2,49.1,-1,0,17500000,Останкинский,Березовая аллея,19к2,Ботанический сад,Апарт-комплекс Легендарный квартал
Ключи,real_estate_agent,https://www.cian.ru/sale/flat/300186533/,Москва,sale,flat,4,12,2,46.0,-1,0,17200000,Савеловский,2-я Квесисская ,22,Савёловская,
WHITE BROKER,real_estate_agent,https://www.cian.ru/sale/flat/301431218/,Москва,sale,flat,12,12,2,45.8,-1,0,14500000,Отрадное,Северный бульвар,6,Отрадное,
Владис,real_estate_agent,https://www.cian.ru/sale/flat/298436420/,Москва,sale,flat,1,9,2,47.3,-1,0,10300000,Северное Тушино,Туристская ,20К2,Планерная,
Московский Риэлторский Центр,real_estate_agent,https://www.cian.ru/sale/flat/299601515/,Москва,sale,flat,6,8,2,40.9,-1,0,12699000,Измайлово,3-я Парковая ,35,Измайловская,
Московский Квартал,real_estate_agent,https://www.cian.ru/sale/flat/301717047/,Москва,sale,flat,11,15,2,44.0,-1,0,10500000,, 1-я Ватутинская,14к2,Коммунарка,Russian Design District
HOUSE MALL - Городская недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/273859563/,Москва,sale,flat,2,10,2,37.0,-1,0,13700000,Ростокино,проспект Мира,188Бк2,Ростокино,Триколор
Место,real_estate_agent,https://www.cian.ru/sale/flat/300726807/,Москва,sale,flat,6,9,2,56.7,-1,0,19000000,Уютная квартира в Таганском е2-комн. квартира,6/9 этаж,6/9 этаж,,
CENTURY 21 Столичная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/300162326/,Москва,sale,flat,5,6,2,68.0,-1,0,16500000,Южное Бутово,Изюмская ,46,Улица Скобелевская,
OXE CAPITAL - Элитная Недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/282724447/,Москва,sale,flat,8,24,2,52.4,-1,0,27800000,Свиблово,Лазоревый проезд,5к1,Ботанический сад,LIFE-Ботанический сад
СМАРЕНТ,real_estate_agent,https://www.cian.ru/sale/flat/301358611/,Москва,sale,flat,16,20,2,45.4,-1,0,22990000,Даниловский,бульвар Братьев Весниных,2,ЗИЛ,ЗИЛАРТ
Монолит Столица,real_estate_agent,https://www.cian.ru/sale/flat/301109863/,Москва,sale,flat,2,19,2,58.0,-1,0,18900000,Кунцево,Рублевское шоссе,81К2,Молодёжная,
МИЦ-Столичный ипотечный центр недвижимости,real_estate_agent,https://www.cian.ru/sale/flat/299293091/,Москва,sale,flat,4,25,2,51.0,-1,0,14999000,Митино,Муравская ,38к1,Пятницкое шоссе,Мир Митино
Ксения Иванова,realtor,https://www.cian.ru/sale/flat/300609055/,Москва,sale,flat,7,9,2,45.5,-1,0,10249000,Ивановское, Молостовых,11К5,Новогиреево,
Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/300723864/,Москва,sale,flat,5,9,2,45.1,-1,0,11000000,Гольяново,Щелковское шоссе,79К1,Щёлковская,
Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/295719676/,Москва,sale,flat,7,8,2,69.0,-1,0,23490000,Ломоносовский,Ленинский проспект,83,Университет,
CENTURY 21 RnB Estate,real_estate_agent,https://www.cian.ru/sale/flat/299727430/,Москва,sale,flat,3,5,2,44.7,-1,0,11600000,Люблино, Степана Шутова,2,Люблино,
Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/300386282/,Москва,sale,flat,1,9,2,42.3,-1,0,14600000,Очаково-Матвеевское,Матвеевская ,42К1,Давыдково,
ОГРК,real_estate_agent,https://www.cian.ru/sale/flat/296776601/,Москва,sale,flat,3,5,2,41.0,-1,0,11950000,Можайский,Гвардейская ,15К1,Рабочий посёлок,
NIKA ESTATE,real_estate_agent,https://www.cian.ru/sale/flat/300062514/,Москва,sale,flat,6,24,2,52.0,-1,0,13150000,Черемушки,Нахимовский проспект,31к3,Новые Черёмушки,Апарт-комплекс Нахимов
